iter	Passed	Remaining
346	2598	1145
347	2605	1138
348	2614	1131
349	2622	1123
350	2629	1116
351	2637	1108
352	2644	1101
353	2651	1093
354	2659	1086
355	2666	1078
356	2674	1071
357	2682	1063
358	2689	1056
359	2697	1049
360	2706	1041
361	2714	1034
362	2721	1027
363	2729	1019
364	2737	1012
365	2745	1005
366	2753	997
367	2761	990
368	2768	982
369	2776	975
370	2783	967
371	2790	960
372	2798	952
373	2805	945
374	2812	937
375	2819	929
376	2826	922
377	2833	914
378	2840	906
379	2847	899
380	2854	891
381	2862	884
382	2869	876
383	2876	868
384	2883	861
385	2890	853
386	2898	846
387	2905	838
388	2912	830
389	2919	823
390	2926	815
391	2933	808
392	2940	800
393	2948	793
394	2957	786
395	2964	778
396	2972	771
397	2979	763
398	2986	755
399	2993	748
400	3000	740
401	3007	733
402	3014	725
403	3021	718
404	3029	710
405	3037	703
406	3044	695
407	3051	688
408	3058	680
409	3065	672
410	3072	665
411	3079	657
412	3086	650
413	3093	642
414	3100	635
415	3107	627
416	3114	619
417	3121	612
418	3128	604
419	3135	597
420	3143	589
421	3151	582
422	3158	574
423	3165	567
424	3172	559
425	3179	552
426	3186	544
427	3193	537
428	3200	529
429	3207	522
430	3214	514
431	3221	507
432	3228	499
433	3236	492
434	3243	484
435	3250	477
436	3257	469
437	3264	462
438	3271	454
439	3278	447
440	3285	439
441	3293	432
442	3300	424
443	3307	417
444	3314	409
445	3321	402
446	3328	394
447	3335	387
448	3343	379
449	3350	372
450	3357	364
451	3364	357
452	3371	349
453	3378	342
454	3385	334
455	3392	327
456	3399	319
457	3406	312
458	3413	304
459	3420	297
460	3427	289
461	3434	282
462	3442	275
463	3449	267
464	3456	260
465	3463	252
466	3470	245
467	3477	237
468	3483	230
469	3491	222
470	3498	215
471	3505	207
472	3512	200
473	3519	193
474	3527	185
475	3534	178
476	3541	170
477	3548	163
478	3555	155
479	3563	148
480	3571	141
481	3579	133
482	3587	126
483	3595	118
484	3603	111
485	3611	104
486	3619	96
487	3626	89
488	3633	81
489	3641	74
490	3648	66
491	3655	59
492	3663	52
493	3670	44
494	3677	37
495	3685	29
496	3692	22
497	3699	14
498	3706	7
499	3713	0
