iter	RMSE
0	4.970336623
1	4.573946718
2	4.197898387
3	3.863116841
4	3.594111171
5	3.333105971
6	3.097079672
7	2.852379102
8	2.657572582
9	2.474003638
10	2.30427996
11	2.161932005
12	1.999905369
13	1.87291968
14	1.739693358
15	1.620488319
16	1.526540102
17	1.434717166
18	1.344742101
19	1.271124211
20	1.21049954
21	1.142510119
22	1.083480992
23	1.032588491
24	0.9881227375
25	0.9388902711
26	0.9013553137
27	0.8572190973
28	0.822855836
29	0.786638884
30	0.7519224707
31	0.7203779222
32	0.6928313924
33	0.6697247427
34	0.6487129493
35	0.625320636
36	0.6070560974
37	0.5868634332
38	0.5679943373
39	0.551377867
40	0.534922945
41	0.5196641751
42	0.5066852184
43	0.495934373
44	0.4882463304
45	0.4779265567
46	0.4711783189
47	0.4643157335
48	0.4541305557
49	0.4472842361
50	0.4394698978
51	0.4305690411
52	0.4253984628
53	0.4201596808
54	0.4160362511
55	0.4106269696
56	0.4041583668
57	0.3980808596
58	0.3927718501
59	0.388183799
60	0.3839282512
61	0.378452599
62	0.3758492462
63	0.3727991032
64	0.3670946137
65	0.3618885086
66	0.3588551032
67	0.3550500773
68	0.3521579212
69	0.3464733665
70	0.342563074
71	0.3401508871
72	0.3373549115
73	0.3354078976
74	0.3312757347
75	0.328997801
76	0.324080825
77	0.3214614308
78	0.3172683099
79	0.313680312
80	0.310167888
81	0.3088319206
82	0.3065875307
83	0.303584151
84	0.301262699
85	0.299482121
86	0.2964887035
87	0.2948168989
88	0.291970267
89	0.2887313837
90	0.2856348332
91	0.2837449701
92	0.2808842276
93	0.278945266
94	0.2750772652
95	0.2718593401
96	0.2684457249
97	0.2657513373
98	0.2640969545
99	0.2613005236
100	0.2587062994
101	0.2568466051
102	0.2552228919
103	0.2527000794
104	0.2505015347
105	0.2480327374
106	0.2453699941
107	0.2440335964
108	0.2432562492
109	0.2416210371
110	0.2392374908
111	0.2379845121
112	0.2364299269
113	0.2353490252
114	0.2335078439
115	0.2314849888
116	0.2297655128
117	0.2290547972
118	0.227415727
119	0.2263370704
120	0.2241969977
121	0.2227870436
122	0.2218997028
123	0.2210434444
124	0.2192266951
125	0.217470582
126	0.2161867068
127	0.2145680498
128	0.2128557648
129	0.2113292849
130	0.2097881897
131	0.2089785371
132	0.2081834785
133	0.2068158351
134	0.2061393592
135	0.2053784555
136	0.204045982
137	0.2026366107
138	0.2013014966
139	0.2004000184
140	0.1990454433
141	0.1978891997
142	0.1970765804
143	0.1961223984
144	0.1948838164
145	0.1938889691
146	0.1926157608
147	0.1918660307
148	0.1907010408
149	0.1895817748
150	0.1887642691
151	0.1879020807
152	0.1869722973
153	0.1861529827
154	0.1850190708
155	0.1836996367
156	0.1826185115
157	0.1820517385
158	0.1808172526
159	0.1797497592
160	0.1792140787
161	0.1783255389
162	0.1773149621
163	0.1761000655
164	0.175092545
165	0.1743485866
166	0.1734213013
167	0.1725264104
168	0.1716094581
169	0.1706111782
170	0.1694970045
171	0.1689899122
172	0.1680925648
173	0.166863246
174	0.1664344238
175	0.1653477249
176	0.1643239025
177	0.1633338061
178	0.1624591757
179	0.1618154862
180	0.1613329001
181	0.1603586421
182	0.1595153824
183	0.1591594921
184	0.1586546959
185	0.1578023233
186	0.1569795591
187	0.1563722258
188	0.1555192977
189	0.1548857675
190	0.1539996833
191	0.1532989141
192	0.1525803185
193	0.1517281239
194	0.1512003008
195	0.1507657176
196	0.1497964304
197	0.1489512411
198	0.1479036425
199	0.1473735311
200	0.1465351513
201	0.1456655732
202	0.1448837723
203	0.1440720807
204	0.1435452288
